date,cruelty_free_cosmetics,cruelty_free_makeup,cruelty_free_skincare,vegan_cosmetics,cosmetics,vegan,the_body_shop,lush,elf,month,year,week,season_2,season_3,season_4,CFC_Lag1,CFC_RollingMean_3,Save_Ralph_Campaign,cruelty_free_cosmetics_log
2019-11-24,24,26,13,53,100,86,100,68,20,11,2019,47,False,False,True,28.0,25.666666666666668,0,3.2188758248682006
2019-12-01,25,24,18,54,86,73,88,66,12,12,2019,48,False,False,False,24.0,25.666666666666668,0,3.258096538021482
2019-12-08,27,24,12,56,77,76,78,68,20,12,2019,49,False,False,False,25.0,25.333333333333332,0,3.332204510175204
2019-12-15,27,25,17,54,76,82,82,78,13,12,2019,50,False,False,False,27.0,26.333333333333332,0,3.332204510175204
2019-12-22,25,28,21,39,72,85,84,100,12,12,2019,51,False,False,False,27.0,26.333333333333332,0,3.258096538021482
2019-12-29,27,24,20,44,64,100,65,59,19,12,2019,52,False,False,False,25.0,26.333333333333332,0,3.332204510175204
2020-01-05,21,24,22,44,65,92,58,47,10,1,2020,1,False,False,False,27.0,24.333333333333332,0,3.091042453358316
2020-01-12,25,24,18,51,65,87,56,47,12,1,2020,2,False,False,False,21.0,24.333333333333332,0,3.258096538021482
2020-01-19,25,25,20,55,67,86,53,45,15,1,2020,3,False,False,False,25.0,23.666666666666668,0,3.258096538021482
2020-01-26,26,23,17,47,68,82,53,45,16,1,2020,4,False,False,False,25.0,25.333333333333332,0,3.295836866004329
2020-02-02,19,21,18,38,65,76,51,41,11,2,2020,5,False,False,False,26.0,23.333333333333332,0,2.995732273553991
2020-02-09,23,22,20,42,64,76,51,43,15,2,2020,6,False,False,False,19.0,22.666666666666668,0,3.1780538303479458
2020-02-16,20,27,19,48,68,75,53,41,17,2,2020,7,False,False,False,23.0,20.666666666666668,0,3.044522437723423
2020-02-23,22,23,18,49,66,74,52,37,13,2,2020,8,False,False,False,20.0,21.666666666666668,0,3.1354942159291497
2020-03-01,24,25,14,50,66,72,55,37,13,3,2020,9,True,False,False,22.0,22.0,0,3.2188758248682006
2020-03-08,22,19,17,42,54,63,54,36,16,3,2020,10,True,False,False,24.0,22.666666666666668,0,3.1354942159291497
